London Rank 2013 (out of 625),Borough name,Ward Code,Ward name,2013,Life Expectancy,Childhood Obesity,Incapacity Benefit rate,Unemployment rate,Crime rate - Index,Deliberate Fires,Average Capped GCSE and Equivalent Point Score Per Pupil,Unauthorised Absence in All Schools (%),Dependent children in out-of-work families,Public Transport Accessibility,"Homes with access to open space & nature, and % greenspace",Subjective well-being average score
415,Brent,E05000103,Welsh Harp,-3.2,8.1,-16.2,-0.9,-6.9,-4.7,1.4,-3.3,-4.4,-3.9,-7.3,12.6,-12.9
384,Brent,E05000102,Tokyngton,-2.6,-0.2,-12.6,7.3,0.7,-3.2,0.5,-2.3,-1,4.5,-2.2,-9.2,-13.1
305,Brent,E05000101,Sudbury,-0.1,1.8,-12.8,0.5,-2.2,0.9,3.7,8.7,3.7,3.9,-3.4,6.5,-13.1
617,Brent,E05000100,Stonebridge,-11.3,-7.7,-14.4,-9.9,-25.4,-3.8,-2,-8.9,-10.5,-18.5,-4.2,-17.8,-12.9
237,Brent,E05000099,Queensbury,1.6,5,-3.3,10,2.5,-4.4,4.2,12.6,9.8,3,-5.6,-1.1,-13.1
232,Brent,E05000098,Queens Park,1.8,12.2,-1.6,4.7,-4.8,-8.4,3.9,3.9,7,3.7,9,-7.4,-0.9
317,Brent,E05000097,Preston,-0.7,7.2,-8.4,2.9,0.7,-0.1,1,2.7,0.5,0.2,-2.6,0.4,-13.1
176,Brent,E05000096,Northwick Park,3.2,7.4,-3.8,8.6,6,3.8,7.8,12.6,10.7,8.3,-7.8,-1.6,-13.1
382,Brent,E05000095,Mapesbury,-2.5,1.9,-3.9,3,-6.7,-11.3,5.5,-0.1,-4.1,-3.8,4.9,-15,-0.9
538,Brent,E05000094,Kilburn,-6.1,9,-17.8,-11.1,-23.5,-12.9,8.7,-9.2,1.9,-9.9,12.3,-19.8,-0.9
129,Brent,E05000093,Kenton,4.8,27.8,-0.9,6.1,7.7,0,5.8,15.4,8,11.3,-7.4,-3.3,-13.1
498,Brent,E05000092,Kensal Green,-5.2,14.3,-13.7,0.3,-23.3,-16.6,2.2,-2.9,-1.2,-6.1,2.4,-5.4,-12.9
623,Brent,E05000091,Harlesden,-13.5,-2.4,-17.7,-9.3,-54.7,-18.1,6,-10.2,-9.7,-12.6,0.5,-20.7,-12.9
177,Brent,E05000090,Fryent,3.2,6.2,2.4,7.1,-0.6,-0.7,9.7,6.7,9,5.1,-6.6,13.1,-12.9
456,Brent,E05000089,Dudden Hill,-4.1,15.9,-10.5,1.4,-11.9,-11.8,-2,-3.9,2.9,-8,-2.4,-5.9,-12.9
321,Brent,E05000088,Dollis Hill,-0.9,19.8,-6.4,-4.6,-8.8,0.7,9.7,-2.5,-3.2,-7.6,-6.5,0.1,-0.9
341,Brent,E05000087,Brondesbury Park,-1.5,13.2,-4.3,-0.1,-0.9,-9.1,0.9,1.2,1.4,2.1,-0.1,-21.6,-0.9
403,Brent,E05000086,Barnhill,-2.9,-7.3,-15.3,-6.1,-4.9,-4.1,8.5,5.8,1.6,-5,-5.5,10,-12.9
328,Brent,E05000085,Alperton,-1.2,6.5,1.7,5,1.5,-1.4,5.1,-2.9,-2.2,3.1,-5.8,-11.7,-13.1
416,Bexley,E05000084,Thamesmead East,-3.2,-4.9,-14.1,5,-12.9,0.4,-22.3,-0.9,4.4,-6.9,-8.6,14.6,7.6
52,Bexley,E05000083,Sidcup,7.8,2.5,0.8,14.5,9.3,7.5,9.3,18,12.8,9.7,-4,5.6,8.3
167,Bexley,E05000082,St Michael's,3.6,7.6,-8.1,11.5,4.8,8,5.2,11.3,11.3,6.5,-11.5,-12.6,8.6
26,Bexley,E05000081,St Mary's,9.3,17.1,9.2,11.9,9.3,7.4,7,10.3,17.3,12.5,-8.2,8.9,8.3
281,Bexley,E05000080,Northumberland Heath,0.4,7.8,-8.5,4.4,4.8,1.3,0.6,1.1,5.8,0.7,-11.7,-8.7,7.6
571,Bexley,E05000079,North End,-7.7,-10.5,-11.4,-2.3,-10.3,-5.7,-45.4,-3.4,-8.9,-15.1,-8.5,21.8,7.6
