London Rank 2013 (out of 625),Borough name,Ward Code,Ward name,2013,Life Expectancy,Childhood Obesity,Incapacity Benefit rate,Unemployment rate,Crime rate - Index,Deliberate Fires,Average Capped GCSE and Equivalent Point Score Per Pupil,Unauthorised Absence in All Schools (%),Dependent children in out-of-work families,Public Transport Accessibility,"Homes with access to open space & nature, and % greenspace",Subjective well-being average score
412,Waltham Forest,E05000606,Markhouse,-3.1,0.9,-11.9,-2.1,-18.3,-14.1,-2.9,3.5,-7.1,-5,3,11.5,5.1
280,Waltham Forest,E05000605,Leytonstone,0.4,-1.7,3.4,-1.9,-6.4,-17.1,6.1,5.6,2.8,2.7,12.2,-4.4,4.1
506,Waltham Forest,E05000604,Leyton,-5.4,-2.3,-1,-12.5,-21.8,-10.5,-1.2,-11.5,-10.6,-9.9,0.4,12.1,4.1
445,Waltham Forest,E05000603,Lea Bridge,-3.8,-13,-5.4,0.1,-19.5,-11.3,-0.1,-1.6,-11.3,-4.5,-1,18.2,4.1
350,Waltham Forest,E05000602,Larkswood,-1.7,5.5,-7.5,-7,-3.8,-4.2,-10.2,5,-6.3,-3.5,-6.6,12.6,5.2
513,Waltham Forest,E05000601,Hoe Street,-5.6,-6.1,-11.2,-10.8,-19.3,-20.4,-3.1,-5.1,-1.3,-5.9,10.1,1,5.1
460,Waltham Forest,E05000600,Higham Hill,-4.3,-0.7,-16.7,-7.9,-18.3,-1.8,-2,-1.3,-0.9,-14.8,-8.3,16.1,5.1
378,Waltham Forest,E05000599,High Street,-2.4,7,-9.6,2.8,-9,-41.1,-7.6,2.3,-3.4,-6.3,4.2,26.9,5.1
364,Waltham Forest,E05000598,Hatch Lane,-2,-2.8,2.8,-8.6,-4.2,-5.3,-7,8.4,-3,-5.8,-9.1,4.9,5.2
235,Waltham Forest,E05000597,Hale End and Highams Park,1.7,11,1.2,0.5,-4.4,-4.1,9.4,-1.3,4.4,-0.3,-8.8,7.3,5.2
287,Waltham Forest,E05000596,Grove Green,0.4,11.1,-9.4,8.6,-6,-9.1,9.8,2,-6.3,3.8,3.4,-7.5,4.1
311,Waltham Forest,E05000595,Forest,-0.5,2,-7.5,-4.5,-6,-6.7,2.5,-5.7,-1.4,3.5,4.1,9.7,4.1
219,Waltham Forest,E05000594,Endlebury,2.1,20.4,1,0,1.4,-5.1,5.1,5.3,-0.4,-1.7,-10.2,4.7,5.2
229,Waltham Forest,E05000593,Chingford Green,1.9,4.8,3.7,1.4,1,-6.2,2.6,2.6,3.7,-1.7,-7,12.1,5.2
303,Waltham Forest,E05000592,Chapel End,-0.1,10.4,-9,7.1,-8.5,-5.7,-1.4,-2.7,4.5,-2.4,-6.1,7.9,5.2
471,Waltham Forest,E05000591,Cathall,-4.7,1.9,-9,-9.5,-23.2,-7.2,0.8,-2.8,-13.1,-8.2,4.1,6.2,4.1
512,Waltham Forest,E05000590,Cann Hall,-5.5,-6.7,-5.7,-1,-15.3,-5.8,-4.9,-7.1,-11.3,-7,-6.1,1,4.1
428,Tower Hamlets,E05000589,Whitechapel,-3.5,-17.7,-19.1,5.3,-12.2,-0.8,-9.9,0.9,-0.4,-16.1,21.9,-13.6,19.3
505,Tower Hamlets,E05000588,Weavers,-5.4,-8.8,-14,-3.5,-19.1,-36.2,0.1,-1.8,8.4,-19.6,12.3,9.5,8.2
385,Tower Hamlets,E05000587,Spitalfields and Banglatown,-2.6,-5.6,-9.1,2.5,-16.8,-5.8,1.1,1.3,4.8,-14.4,22.2,-20.1,8.2
464,Tower Hamlets,E05000586,Shadwell,-4.4,0.9,-17.1,-1,-27.6,-12.5,-18.1,4.1,4.5,-15.7,16.2,-5.7,19.3
161,Tower Hamlets,E05000585,St Katharine's and Wapping,3.7,1.9,5.3,5.6,2.7,2.6,7.8,2.4,5,-9.5,4.6,-3,19.3
482,Tower Hamlets,E05000584,St Dunstan's and Stepney Green,-4.9,-9.4,-15.5,-5.4,-19.2,-6,-31.2,2.6,3.1,-17,11.3,8.6,19.3
159,Tower Hamlets,E05000583,Millwall,3.8,7.1,-11.6,11.8,0.3,17.2,5.8,-2.1,-4.7,-4.5,-2.6,-6.8,35.2
598,Tower Hamlets,E05000582,Mile End East,-9.4,-4.5,-23.8,-2.4,-26,-9.5,-41.4,4.3,-6.6,-21.7,11.2,3.9,3.3
419,Tower Hamlets,E05000581,Mile End and Globe Town,-3.3,-11,-9.3,3,-9.7,-4.7,-10.3,-0.2,1.9,-17.2,11.3,-1.5,8.2
516,Tower Hamlets,E05000580,Limehouse,-5.6,-15.8,-12.7,-5.1,-17.6,-9.2,-34.4,0.5,0.3,-22,8.5,5,35.2
613,Tower Hamlets,E05000579,East India and Lansbury,-10.6,-12.7,-13.7,-16.4,-40.2,-12.8,-29.5,-11,-0.4,-25.2,-1.8,1.2,35.2
552,Tower Hamlets,E05000578,Bromley-by-Bow,-6.8,0.9,-12.3,-5.3,-29.2,-10.3,-16.8,5.4,2.8,-22.2,3.3,-1.6,3.3
530,Tower Hamlets,E05000577,Bow West,-5.9,-0.9,-1.4,-2.5,-9.8,-28.6,-48.7,5.5,1.4,-8.9,10.1,9.2,3.3
596,Tower Hamlets,E05000576,Bow East,-9.3,-7.7,-16.8,-7.5,-14.2,-19.2,-12.6,-0.5,-8.8,-30.5,-0.9,4.1,3.3
274,Tower Hamlets,E05000575,Blackwall and Cubitt Town,0.5,3.3,-13.1,6.5,-4.1,7.4,-10,0.4,-5.8,-17.8,0.1,4.4,35.2
518,Tower Hamlets,E05000574,Bethnal Green South,-5.6,-7.6,-8.5,-4.6,-15.8,-25.1,-27.5,-2.2,3.6,-17.9,21.5,8.5,8.2
559,Tower Hamlets,E05000573,Bethnal Green North,-7.1,-12.4,-15.6,-4.4,-21.8,-20.8,-20.7,0.8,3.6,-22.5,15.9,4.8,8.2
81,Sutton,E05000572,Worcester Park,6.6,13.6,1.6,14.5,8.5,7.5,7.5,14.3,6.8,7.7,-10,-1,8.4
484,Sutton,E05000571,Wandle Valley,-4.9,-4.8,-2.2,1.2,-3.8,-2.1,-24.9,-15.4,-9.3,-6.1,-9.9,10.2,8.4
216,Sutton,E05000570,Wallington South,2.2,6.8,-3.9,-0.5,2.1,-0.5,-4,20.2,7.4,3.6,-3,-8.9,7.4
188,Sutton,E05000569,Wallington North,2.7,5.9,0.1,6.5,5.7,-5,-7.7,18.7,0.6,6.3,-2.2,-3.6,7.4
245,Sutton,E05000568,The Wrythe,1.4,-4.6,-4.8,11,3,-2.3,4.8,11.9,4.4,1.4,-8.1,-8,8.4
70,Sutton,E05000567,Sutton West,7.1,3.9,-2,13.9,8.2,6.7,11.4,19.9,8.1,11.1,-1.7,-0.6,6.2
243,Sutton,E05000566,Sutton South,1.5,-2.2,-3.9,9,4.2,6.2,4.4,18.7,-1.1,6.8,-3.6,-27.2,6.2
155,Sutton,E05000565,Sutton North,3.9,8.4,-1.9,14.6,5,0.4,-1.7,15.3,7.7,6.1,-3.1,-10.4,6.2
342,Sutton,E05000564,Sutton Central,-1.5,1.2,0.9,7,-1.2,-10.7,-8.9,3.2,-5.8,-0.7,7.8,-17.2,6.2
100,Sutton,E05000563,Stonecot,6,1.7,0.9,16.6,6.9,4,-3.3,19.7,18.1,11.7,-9.4,-3.1,8.4
417,Sutton,E05000562,St Helier,-3.2,-1.1,-11.2,-1,-7.3,0.6,-1.8,-6.8,-6.9,-6.7,-6.3,1.4,8.4
33,Sutton,E05000561,Nonsuch,8.8,22.7,14.8,17.5,9.9,3.6,-5.5,17.4,16.3,13.1,-10.6,-2.4,8.4
40,Sutton,E05000560,Cheam,8.4,8,11.8,16.6,9.6,8.9,-4,32.6,15.5,13.7,-11.5,-6,6.2
76,Sutton,E05000559,Carshalton South and Clockhouse,6.8,8.6,12.1,8.4,6.7,5.8,4.5,14.7,4.4,10.4,-11.8,10.4,7.4
86,Sutton,E05000558,Carshalton Central,6.4,11,9.8,9.7,5.9,0.9,-2,21.4,10.1,8.1,-3.5,-2,7.4
184,Sutton,E05000557,Belmont,2.9,9.4,-1.2,5.8,7,11.1,-4.3,16,4.5,9.1,-10.7,-18.1,6.2
426,Sutton,E05000556,Beddington South,-3.5,5.7,-10,-5.1,-2.9,-5.6,-9.8,5.6,-10.3,-7.3,-12.7,3.5,7.4
153,Sutton,E05000555,Beddington North,3.9,9.8,-3.2,9.7,4.6,4.5,-14.9,9.5,4.9,8.8,-8.2,14.1,7.4
31,Southwark,E05000554,Village,9.1,16.7,17.3,12.5,6.8,-7.6,5.8,21.8,19.5,12.3,2.4,1,0.2
510,Southwark,E05000553,The Lane,-5.5,0.1,-17.6,0,-13.8,-28.1,-1.6,-1.2,-1.4,-7.1,15.8,-8.2,-2.4
345,Southwark,E05000552,Surrey Docks,-1.6,-2.6,-13.4,8.9,4.7,-12.7,5,-0.4,-8.5,-3.6,-6.5,-7.1,17.5
324,Southwark,E05000551,South Camberwell,-1,12.3,-20.4,4.5,-5,-7,0.7,8.5,6.9,-0.2,6.1,-18.2,0.2
535,Southwark,E05000550,South Bermondsey,-6,2.1,-21.9,-6.8,-10.7,-17.6,4.9,0.3,-10,-15,-0.9,-14,17.5
435,Southwark,E05000549,Rotherhithe,-3.7,-3.3,-24.7,-5.5,-2.6,-26.2,-1.4,-2.7,1.8,-14.9,10.6,7.1,17.5
365,Southwark,E05000548,Riverside,-2.1,3,-18.2,7.5,0.6,3.8,5.4,-11.4,-14.4,-10.7,4.4,-12.2,17.5
289,Southwark,E05000547,Peckham Rye,0.3,3.9,-1.6,-2.4,-2.1,-9.4,9.7,-2.2,7.8,-3.8,-2.3,7.9,-2.4
582,Southwark,E05000546,Peckham,-8.6,-11.3,-22.6,-1.2,-27.4,-16.2,-2.4,0.6,3.9,-13.7,2.1,-12.9,-2.4
584,Southwark,E05000545,Nunhead,-8.7,-14.9,-13.6,-23,-19.2,-10.9,-3.7,0.5,1.6,-13.1,7.5,-12.8,-2.4
509,Southwark,E05000544,Newington,-5.4,0.2,-19.1,-11.6,-7.8,-20.1,5.2,0.1,-5.9,-12.2,14.2,-10.7,2.5
583,Southwark,E05000543,Livesey,-8.6,3.4,-19.3,-6.4,-23.1,-11.8,-10.8,1.1,-5.2,-15.4,4,-18,-2.4
528,Southwark,E05000542,Grange,-5.8,-10.6,-12.4,-4.1,-7.5,-8.3,-1.1,-7,-8.7,-15.3,9.4,-22.1,17.5
577,Southwark,E05000541,Faraday,-8.1,2.3,-22,-5.8,-16.2,-15.6,-27.7,-4.5,-2.8,-13.5,6.3,0.3,2.5
590,Southwark,E05000540,East Walworth,-8.9,-2.7,-25.9,-10.5,-7.1,-47.6,-6.7,2.3,-8,-14.5,14.7,-3.3,2.5
256,Southwark,E05000539,East Dulwich,0.9,5.5,0.8,1.2,1.5,-9.3,11.4,4.7,1.4,5.5,2.4,-14.8,0.2
348,Southwark,E05000538,College,-1.6,10.4,-7,-3.4,-3.1,-13.9,3.6,-5.3,3.3,-4.9,-2.7,3.2,0.2
405,Southwark,E05000537,Chaucer,-3,4.9,-15.4,4.4,-3.7,-9.1,-10.5,-4,-1,-10.5,24.6,-17.7,2.5
422,Southwark,E05000536,Cathedrals,-3.4,-5.1,-18.1,-3.7,-5.9,6.4,2.9,-6.4,-12.6,-11.1,30,-19.2,2.5
547,Southwark,E05000535,Camberwell Green,-6.6,-15.9,-13,-14.9,-19.4,-17.5,6.9,3.6,-0.4,-11.4,13.1,-10.2,0.2
548,Southwark,E05000534,Brunswick Park,-6.6,-3.7,-12.6,-12.2,-15.3,-10.5,-0.7,1.8,-5.6,-8.8,2.6,-15,0.2
134,Richmond upon Thames,E05000533,Whitton,4.6,7,13.2,10.6,7.4,2.2,9,12.1,5.1,8.9,-9.5,-4.1,-6.2
47,Richmond upon Thames,E05000532,West Twickenham,8.2,11.2,13.1,12.2,9.7,1.1,7,21.2,13.9,11.3,-7.4,11.9,-6.2
19,Richmond upon Thames,E05000531,Twickenham Riverside,9.9,8.4,23.2,15.8,11.2,-0.2,7,21.9,9.7,16,5.5,6.1,-6.2
13,Richmond upon Thames,E05000530,Teddington,10.5,9.9,25.5,13.2,10.2,8.3,4.8,19.2,18.7,14.5,-3.9,11.6,-5.5
4,Richmond upon Thames,E05000529,South Twickenham,11.6,20.1,19.2,16.4,11.3,5.6,6.8,32.8,19.3,15,-1.6,0.2,-6.2
80,Richmond upon Thames,E05000528,South Richmond,6.6,13.2,18.9,10.4,9.5,-4.9,5.1,0,2.6,15,2.7,8.7,-1.7
22,Richmond upon Thames,E05000527,St Margarets and North Twickenham,9.8,19.5,18.6,17.6,10.8,1.5,1.4,25.6,14,15.6,-4.5,3.9,-6.2
48,Richmond upon Thames,E05000526,North Richmond,8.2,21.5,11.7,6.7,9.2,-0.5,11.4,8.5,6.1,11.2,4.5,9.8,-1.7
79,Richmond upon Thames,E05000525,Mortlake and Barnes Common,6.7,16.1,19.8,12.7,8.5,-4.3,7.2,3.5,7.3,8.7,-5.5,7.9,-1.7
34,Richmond upon Thames,E05000524,Kew,8.7,25.9,13.7,14.2,10.7,0.5,9.4,6.6,3.6,12.9,-6.6,14.9,-1.7
269,Richmond upon Thames,E05000523,Heathfield,0.6,7.4,0.6,1,4.9,0.9,0.4,3,1.9,3.8,-12.6,2.5,-6.2
37,Richmond upon Thames,E05000522,Hampton Wick,8.5,15.1,21.4,4.6,10.6,1.3,9.2,14.6,14.2,13.1,-7.3,11,-5.5
293,Richmond upon Thames,E05000521,Hampton North,0.1,7,1.2,-0.8,6.8,-0.2,-0.7,-6.6,8,0.7,-11.6,3.1,-5.5
39,Richmond upon Thames,E05000520,Hampton,8.5,7.2,5.3,13.2,9.8,3.3,9.1,14.9,18.5,10,-8,23.7,-5.5
119,Richmond upon Thames,E05000519,"Ham, Petersham and Richmond Riverside",5.2,7.9,10.7,8.2,5.3,3.2,-8.4,13.6,3.4,7.1,-12.1,25.8,-1.7
50,Richmond upon Thames,E05000518,Fulwell and Hampton Hill,8,5.9,25.3,11.5,9.2,6.1,2.4,17.4,16.7,13,-4.2,-1.5,-5.5
5,Richmond upon Thames,E05000517,East Sheen,11.4,23.6,21.3,19,11,2.7,11.4,15.2,5.3,16.2,-8.5,21.8,-1.7
106,Richmond upon Thames,E05000516,Barnes,5.9,18.6,-1.6,11.7,8.8,-1.3,9.2,1.2,-0.1,12.5,-3,16.4,-1.7
142,Redbridge,E05000515,Wanstead,4.4,8.8,-1.1,6.5,6.4,-15.5,5.5,14.3,3,9.4,-9.1,17.9,6.3
394,Redbridge,E05000514,Valentines,-2.8,0.3,-9.3,-2.8,-10.5,-14.8,-5.9,5.9,-2.7,2,5.4,-9.5,8.6
125,Redbridge,E05000513,Snaresbrook,5,7.4,1.7,7.5,6.2,-2.7,3.7,11.8,10.5,12.5,-1.1,-4.2,6.3
369,Redbridge,E05000512,Seven Kings,-2.1,2.6,-13.6,-1.8,-6.9,-7.1,-2.8,2.9,0.4,1.2,-4.7,0,4.5
214,Redbridge,E05000511,Roding,2.3,10.2,-5,7.2,0.9,-2.9,2,5.1,-0.8,5.3,-9.3,7.9,6.3
200,Redbridge,E05000510,Newbury,2.5,13.5,-6.3,2.8,-2.9,0.4,7.3,12.1,7.8,2.6,-4.6,-7.1,4.5
36,Redbridge,E05000509,Monkhams,8.6,9.3,9,12.4,9.5,4.4,2.7,24.2,17.4,14.4,-8.6,2.6,6.3
315,Redbridge,E05000508,Mayfield,-0.7,5.9,-11.3,4.5,-5.1,-3.9,1.4,8,-6.5,0.8,-7.5,-2.7,8.6
540,Redbridge,E05000507,Loxford,-6.2,-9.7,-13,-2.7,-16.7,-10.5,-0.7,-0.9,-15.6,-9.4,-2.9,-0.8,8.6
492,Redbridge,E05000506,Hainault,-5.1,-4.4,-11.2,-19.6,-8.5,1.2,-7.6,-3.8,-11.8,-5.5,-10.2,13.8,6.3
439,Redbridge,E05000505,Goodmayes,-3.7,0.5,-10.7,-3.5,-8.7,-5.3,1,-0.9,-3.3,-2.1,-0.8,-15.2,4.5
247,Redbridge,E05000504,Fullwell,1.2,15.3,-17.3,-2.5,-1.6,-3.9,6.1,11.1,5,-0.1,-10.2,6,6.3
270,Redbridge,E05000503,Fairlop,0.6,4.5,-15.1,0.8,-0.1,-5.1,-1.2,6,2,4,-6.9,12,6.3
187,Redbridge,E05000502,Cranbrook,2.8,0.4,-4.3,5,0.8,-6.3,6.1,14.5,-8.3,7.2,-0.1,9.9,8.6
524,Redbridge,E05000501,Clementswood,-5.7,1.2,-5.6,1.3,-12.5,-18,-7.5,2.4,-11.1,-2.9,-3,-21.3,8.6
90,Redbridge,E05000500,Clayhall,6.3,14.7,-7.1,8.4,4.2,3.8,6.2,23.2,8.5,12.2,-10.4,6.9,4.5
139,Redbridge,E05000499,Church End,4.5,8.7,2.6,10.6,4.9,-6.3,7.5,16.3,11.1,11.2,-7.3,-12,6.3
400,Redbridge,E05000498,Chadwell,-2.9,-2.8,-11.5,3.6,-3.2,-7.3,1.9,6.1,5.3,-1.6,-9.5,-20.2,4.5
162,Redbridge,E05000497,Bridge,3.7,13.6,5.6,1.5,2.4,-3.9,7.5,8.3,5.6,2.3,-9.4,4.8,6.3
124,Redbridge,E05000496,Barkingside,5,22.4,-2.9,6.1,3.3,-2.3,6,19.5,7.1,9.7,-4.1,-9.7,4.5
206,Redbridge,E05000495,Aldborough,2.4,-3.8,-5.8,1.8,0.1,-6.1,5.3,14.1,10.2,6,-7.9,10,4.5
475,Newham,E05000494,West Ham,-4.7,-0.1,-14.6,-2,-15.6,-5.3,-14.6,-0.1,-8.3,-11.5,6.8,8.9,-0.6
414,Newham,E05000493,Wall End,-3.2,0.1,-14.6,4.7,-8.7,-0.3,-0.9,-9,-20.9,-2.3,-0.2,-1.7,15.7
543,Newham,E05000492,Stratford and New Town,-6.3,-3,-9,9,-5.4,-44.2,-21.5,-6.4,-12.8,-6.7,14.6,9.9,-0.6
363,Newham,E05000491,Royal Docks,-2,3.7,-27.8,12.7,-1.2,-1.3,-2.1,-6.1,-10.8,-3.6,-6.8,-3.9,22.9
404,Newham,E05000490,Plaistow South,-3,-1.1,-14.8,-0.1,-16.1,-7.2,-2.4,1.2,-5.6,-6,4.7,-4.6,16.5
451,Newham,E05000489,Plaistow North,-3.9,2.4,-6.6,-9.1,-17.5,-6.2,-13.6,1.4,-1.4,-8.7,4.3,-9,16.5
438,Newham,E05000488,Manor Park,-3.7,-9.5,-11.2,-0.6,-16.7,-4.7,-10.9,-2.1,-1.7,-4.5,1.7,0,15.7
437,Newham,E05000487,Little Ilford,-3.7,-9.8,-16.3,-5.7,-19.8,-6.5,-3.6,-1.9,2.4,-7.3,-7.7,16.1,15.7
377,Newham,E05000486,Green Street West,-2.3,3.1,-7.6,1.4,-13.7,-3.9,-5.1,0.3,-3.4,-2.3,1.4,-14.5,16.5
373,Newham,E05000485,Green Street East,-2.2,6.3,-11.8,1.6,-12.6,-3.4,-2.9,1.5,-7.9,-3.3,-0.6,-9.8,16.5
586,Newham,E05000484,Forest Gate South,-8.8,-14.4,-15.6,-4.4,-13.8,-12.5,-20.9,-3,-3,-4.1,1,-13.7,-0.6
462,Newham,E05000483,Forest Gate North,-4.3,-2.1,-13.8,2.6,-10.5,-9.8,-4,-1.7,-2.1,-3.4,-3.8,-3,-0.6
522,Newham,E05000482,East Ham South,-5.7,-4.7,-14.2,-1.8,-13.4,-5.8,-11.7,-3.6,-15.4,-7.6,-8.2,2.8,15.7
411,Newham,E05000481,East Ham North,-3.1,-10.9,-6.9,-0.3,-11.8,-1.8,-6.5,-4.6,-11.2,-1.9,4.4,-1.7,15.7
440,Newham,E05000480,East Ham Central,-3.7,3.1,-14.9,6.8,-9.6,-15.4,-12.9,-5.2,-12.6,1,6.8,-7.3,15.7
595,Newham,E05000479,Custom House,-9.3,-18.6,-11.3,-10.5,-11.5,-27.8,-21,-7.2,-16.4,-10.5,-4.5,5.1,22.9
562,Newham,E05000478,Canning Town South,-7.2,-8.5,-16.9,3.3,-10.5,-11,-8.8,-9.1,-20.1,-13,-1.5,-13.9,22.9
608,Newham,E05000477,Canning Town North,-10.2,-6.2,-19.8,-12.1,-27.1,-8.4,-28,-9.1,-23.3,-15.9,6.8,-2,22.9
491,Newham,E05000476,Boleyn,-5.1,8.4,-16.3,-2.1,-12.3,-9.7,-21.2,-3.8,-11.6,-5,2,-6.1,16.5
483,Newham,E05000475,Beckton,-4.9,-0.6,-9.8,-8.3,-2.8,-5.7,-18.7,4.3,-26,-5.6,-6.7,-1.8,22.9
24,Merton,E05000474,Wimbledon Park,9.6,16.3,12.4,15.7,9.6,3.9,7.3,31.3,16.8,11.4,-5.1,1.7,-5.9
102,Merton,E05000473,West Barnes,5.9,8.8,-1.9,16.9,7.8,0.5,4.5,17.8,12.6,10.9,-6,-0.3,-0.4
18,Merton,E05000472,Village,10.1,19.4,-2.3,22.9,12.6,5.6,11.4,18.4,15.7,18.6,-10,14.6,-5.9
166,Merton,E05000471,Trinity,3.7,2.5,-0.3,16.8,7.4,-7.4,-0.2,4.4,8.6,8.9,1.2,7.7,-5.9
283,Merton,E05000470,St Helier,0.4,-3,-6.4,-1,-2.8,1.7,4.8,8.3,-2.1,-1.6,-4.7,11.8,-0.4
60,Merton,E05000469,Raynes Park,7.7,-2.7,8.9,13.5,10.1,3.4,6.7,19.4,21.2,10.1,0.3,1.3,-0.4
362,Merton,E05000468,Ravensbury,-2,-8.4,-4.6,1.5,-4.3,-1.7,4.6,-6.1,-9.8,-4.6,-5.9,15.4,-0.4
413,Merton,E05000467,Pollards Hill,-3.1,4.3,-9.8,6.8,-8.7,-7.6,-21.2,2.1,-4.2,-5.3,-8.5,14.1,0.3
17,Merton,E05000466,Merton Park,10.2,18.1,12.9,18.8,7.9,2.5,1.8,24.8,21.5,12,0.5,1.5,-0.4
168,Merton,E05000465,Lower Morden,3.6,6.9,2.2,14.7,6,8.2,3.9,-0.9,-0.7,9.7,-11.1,4.1,-0.4
275,Merton,E05000464,Longthornton,0.5,1.2,-3.4,6.8,-1.8,-5.7,4.7,4.7,-0.4,3,-7,3.8,0.3
330,Merton,E05000463,Lavender Fields,-1.3,3.1,-6.6,10.3,-1.5,-3.7,7,3,-13.7,-4,-7.9,-1.7,0.3
21,Merton,E05000462,Hillside,9.8,19.6,-2.3,19.2,11.5,10,8.8,20.8,21.7,15.7,11.4,-12.6,-5.9
231,Merton,E05000461,Graveney,1.8,10.5,-13.1,14.3,-4.2,-3.2,9.1,2.8,4.3,7.1,-2.7,-3.6,0.3
467,Merton,E05000460,Figge's Marsh,-4.5,-5.3,-12.6,1,-11.6,-13.4,-0.6,-1.1,-9.3,-4.2,-1.1,3.4,0.3
14,Merton,E05000459,Dundonald,10.5,18.1,17,20.5,11.8,-0.8,6.5,20.2,19.2,14.9,8.1,-3.2,-5.9
408,Merton,E05000458,Cricket Green,-3.1,-3.6,-9.4,-2.1,-14.7,2.9,-4.4,-1.6,-3.1,-7.6,-6.2,12.7,0.3
226,Merton,E05000457,Colliers Wood,2,4.5,0.7,14.7,5.2,-13.4,0.9,2.6,1.4,4.7,1.1,1.8,0.3
94,Merton,E05000456,Cannon Hill,6.2,18.7,-10.5,16.2,6.6,3.3,4,11.5,13.5,10.3,-8.7,9.9,-0.4
120,Merton,E05000455,Abbey,5.2,2,6.9,14.7,9.6,1.2,2.6,8.9,10.4,3.1,9.7,-1.2,-5.9
469,Lewisham,E05000454,Whitefoot,-4.6,8.9,-12.4,-6,-10.8,-11.1,5.1,-6.1,-9.9,-11.2,-7,1.9,3.5
340,Lewisham,E05000453,Telegraph Hill,-1.5,2.1,-7.8,-2.5,-10,-5.6,4.6,4,7.8,-6.3,10.3,-17.2,2.6
520,Lewisham,E05000452,Sydenham,-5.6,-10.8,-14.2,-3.7,-8.6,-9,1.3,-11,-7.4,-9.8,2.4,-0.3,3.5
453,Lewisham,E05000451,Rushey Green,-4,1.2,-3.3,-12.3,-11.6,-15.9,1.2,-12.1,-1,-6.8,9.8,3.3,0
442,Lewisham,E05000450,Perry Vale,-3.8,5.5,-8.7,-1.2,-5.7,-6.7,1.2,-3.1,0.5,-6.6,-2.5,-21.4,3.5
589,Lewisham,E05000449,New Cross,-8.9,-22.3,-18,-0.2,-13.5,-23.1,-6.4,-5,-2.8,-11.9,4.8,-10.8,2.6
526,Lewisham,E05000448,Lewisham Central,-5.8,-13.2,-13.8,-8.3,-8.6,-19.5,4.1,-5,-5.7,-8.4,9.9,-0.8,0
288,Lewisham,E05000447,Lee Green,0.4,6.2,4.4,-2.5,-2.5,-5.4,0.5,7.7,2.2,-0.1,-1,-5.3,0
334,Lewisham,E05000446,Ladywell,-1.4,0.1,-13.2,3.4,-2.2,-6.7,5.2,-6.5,-2.8,-2.2,5.1,0.4,2.6
478,Lewisham,E05000445,Grove Park,-4.8,-1.9,-10.2,-7.7,-5.4,-2.4,-1,1.5,-12.2,-5,-4.2,-9.2,0
360,Lewisham,E05000444,Forest Hill,-2,-2.9,-3.3,-0.7,-6.9,-13.7,3.7,2.9,0.3,-2.2,1.5,-5.8,3.5
568,Lewisham,E05000443,Evelyn,-7.5,-7.6,-15.8,-8.2,-13.6,-9.8,4.9,-8,-7.7,-14.8,-4.6,-7.6,2.6
536,Lewisham,E05000442,Downham,-6.1,5.4,-14.7,-13.8,-14.2,-12.5,2,-6.1,-11.1,-16.6,-3.6,8.8,3.5
347,Lewisham,E05000441,Crofton Park,-1.6,10.1,-3.5,1.4,-2.9,-3,-5.3,-14,2.7,2.2,2.1,-11.3,2.6
355,Lewisham,E05000440,Catford South,-1.9,0.4,-7.3,-1.1,-4,1.7,9.9,-0.8,1.9,-0.1,-3.6,-19.9,0
481,Lewisham,E05000439,Brockley,-4.9,-6.1,-13,1.8,-9.5,-17.8,1.1,-9.1,-9.1,-5.2,14.8,-9.2,2.6
296,Lewisham,E05000438,Blackheath,0.1,1.9,-3.6,6.3,1.5,-8.4,5.1,-3.1,-9.8,-0.4,8.1,3.1,0
565,Lewisham,E05000437,Bellingham,-7.3,-5.9,-19.3,-10.7,-11.7,-10.7,0.7,-11.2,-10.8,-14.7,-5.3,8.5,3.5
546,Lambeth,E05000436,Vassall,-6.5,3.8,-20.5,-10.7,-17.9,-18.7,5.2,-2.4,-1.8,-15.1,4.5,-6.3,1.8
523,Lambeth,E05000435,Tulse Hill,-5.7,0.4,-17.3,3,-16.4,-19.1,4.2,-6.9,-3.6,-13.5,4.2,-0.3,-2.8
313,Lambeth,E05000434,Thurlow Park,-0.6,5.5,-1.3,-0.5,-1.7,-13.1,4.7,4.6,-6.3,-0.5,8.9,-8.9,1.7
253,Lambeth,E05000433,Thornton,1,15,-13.9,9.3,-1.8,-6,9.6,9.4,0.5,-5.2,-1.6,-5,1.7
319,Lambeth,E05000432,Streatham Wells,-0.8,-7,-6,4.7,-1.9,-8.2,8.3,10.6,-4.6,-5.7,4.8,-5.7,1.7
300,Lambeth,E05000431,Streatham South,0,7.9,-10.4,4.9,-6.7,-7.3,3.5,4.7,0.6,-4.1,2,3,1.7
325,Lambeth,E05000430,Streatham Hill,-1,-8.2,-0.1,4.6,-3.3,-17.6,3.6,7.8,-2,-4.4,10.6,-4.7,1.7
346,Lambeth,E05000429,Stockwell,-1.6,-2.6,-12.5,4.2,-11.2,-17.2,3.7,8,4.4,-12.7,11.3,4.1,1.8
292,Lambeth,E05000428,St Leonard's,0.1,7.6,-2,1.7,-6.1,-22.7,6.7,7.1,-5.5,-0.4,15.1,-1.5,1.7
386,Lambeth,E05000427,Prince's,-2.7,0.1,-15.6,-7.7,-11.1,-13.8,8.3,4.9,7.3,-10.6,18.1,-13.6,1.8
338,Lambeth,E05000426,Oval,-1.5,-3.6,-12.8,2.5,-2.5,-20.5,8.5,-5.6,6.2,-12.2,22.1,-1.4,1.8
